eval,model,variant,round,rows,mean_target_input_tokens,mean_effective_target_input_est,mean_target_response_tokens
SECOND-EVAL,Llama-3.1-8B,SFT,5,150,7754.406666666667,7754.406666666667,370.36
SECOND-EVAL,Llama-3.1-8B,SFT+RL,0,150,128.39333333333337,128.39333333333337,1022.0333333333332
SECOND-EVAL,Llama-3.1-8B,SFT+RL,1,150,1900.44,1900.44,1012.9666666666668
SECOND-EVAL,Llama-3.1-8B,SFT+RL,2,150,3723.413333333333,3723.413333333333,1019.6533333333332
SECOND-EVAL,Llama-3.1-8B,SFT+RL,3,150,5573.713333333333,5573.713333333333,1021.3333333333334
SECOND-EVAL,Llama-3.1-8B,SFT+RL,4,150,7440.326666666667,7440.326666666667,1016.42
SECOND-EVAL,Llama-3.1-8B,SFT+RL,5,150,9291.706666666669,9291.706666666669,1019.1466666666666
SECOND-EVAL,Qwen3-4B,BASE,0,150,130.39333333333337,130.39333333333337,349.49333333333334
SECOND-EVAL,Qwen3-4B,BASE,1,150,1285.8466666666666,1285.8466666666666,928.4066666666666
SECOND-EVAL,Qwen3-4B,BASE,2,150,3161.806666666667,3161.806666666667,991.7266666666668
SECOND-EVAL,Qwen3-4B,BASE,3,150,5123.9,5123.9,1005.4533333333334
SECOND-EVAL,Qwen3-4B,BASE,4,150,7110.553333333333,7110.553333333333,995.2
SECOND-EVAL,Qwen3-4B,BASE,5,150,9097.253333333334,9097.253333333334,989.26
SECOND-EVAL,Qwen3-4B,EMBER-AGENT,0,150,130.39333333333337,585.86,306.46666666666664
SECOND-EVAL,Qwen3-4B,EMBER-AGENT,1,150,1292.96,2013.5,571.54
SECOND-EVAL,Qwen3-4B,EMBER-AGENT,2,150,2810.893333333333,3585.38,625.4866666666667
SECOND-EVAL,Qwen3-4B,EMBER-AGENT,3,150,4424.8133333333335,5208.386666666666,634.5733333333334
SECOND-EVAL,Qwen3-4B,EMBER-AGENT,4,150,6053.56,6847.153333333334,644.5933333333334
SECOND-EVAL,Qwen3-4B,EMBER-AGENT,5,150,7703.413333333333,8525.926666666666,673.5133333333333
SECOND-EVAL,Qwen3-4B,EMBER-PROMPT,0,150,294.3933333333333,294.3933333333333,309.36
SECOND-EVAL,Qwen3-4B,EMBER-PROMPT,1,150,1480.6666666666667,1480.6666666666667,909.5933333333334
SECOND-EVAL,Qwen3-4B,EMBER-PROMPT,2,150,3389.72,3389.72,973.0866666666668
SECOND-EVAL,Qwen3-4B,EMBER-PROMPT,3,150,5376.613333333334,5376.613333333334,961.98
SECOND-EVAL,Qwen3-4B,EMBER-PROMPT,4,150,7347.486666666667,7347.486666666667,932.68
SECOND-EVAL,Qwen3-4B,EMBER-PROMPT,5,150,9290.693333333333,9290.693333333333,939.5133333333332
SECOND-EVAL,Qwen3-4B,SFT,0,150,130.39333333333337,130.39333333333337,360.26666666666665
SECOND-EVAL,Qwen3-4B,SFT,1,150,1265.52,1265.52,699.96
SECOND-EVAL,Qwen3-4B,SFT,2,150,2783.92,2783.92,706.2866666666666
SECOND-EVAL,Qwen3-4B,SFT,3,150,4336.966666666666,4336.966666666666,707.8533333333334
SECOND-EVAL,Qwen3-4B,SFT,4,150,5909.793333333333,5909.793333333333,681.8133333333334
SECOND-EVAL,Qwen3-4B,SFT,5,150,7451.34,7451.34,591.72
SECOND-EVAL,Qwen3-4B,SFT+RL,0,150,130.39333333333337,130.39333333333337,785.4333333333333
SECOND-EVAL,Qwen3-4B,SFT+RL,1,150,1538.9066666666668,1538.9066666666668,989.3533333333334
SECOND-EVAL,Qwen3-4B,SFT+RL,2,150,3099.613333333333,3099.613333333333,996.36
SECOND-EVAL,Qwen3-4B,SFT+RL,3,150,4675.8533333333335,4675.8533333333335,996.1333333333332
SECOND-EVAL,Qwen3-4B,SFT+RL,4,150,6257.453333333333,6257.453333333333,984.72
SECOND-EVAL,Qwen3-4B,SFT+RL,5,150,7862.933333333333,7862.933333333333,899.7333333333333
