model,scenario,基线,提示词缓偏,EMBER-Agent,agent_vs_base,prompt_vs_base
Qwen3-4B,双智能体辩论场景,2.430263483146067,2.191920134983127,1.9231076836791925,0.5071557994668747,0.23834334816294023
Qwen3-4B,多智能体辩论场景,2.3928036117381493,1.8030769230769232,1.7048380952380953,0.687965516500054,0.589726688661226
Llama-3.1-8B,双智能体辩论场景,2.2407620111731843,2.2156430167597763,2.050718034617532,0.19004397655565208,0.025118994413408036
Llama-3.1-8B,多智能体辩论场景,2.170388609715243,2.2587825600894353,2.013444630872483,0.15694397884276023,-0.08839395037419218
Mistral-7B,双智能体辩论场景,1.9881701175153892,1.8499988801791714,1.7404542905215925,0.24771582699379668,0.13817123733621783
Mistral-7B,多智能体辩论场景,2.2735358744394616,2.2997654320987655,1.6448663310961966,0.628669543343265,-0.026229557659303904
