variant,rows,valid_rows,mean_score,mean_response_tokens,median_response_tokens,short_lt_80,short_lt_200,mean_single_pass_total,any_bias_trigger,high_bias_trigger
BASE,1100,1054,2.0265654648956355,886.5718181818182,1024.0,2.6363636363636362,3.3636363636363638,9157.307272727272,73.9090909090909,35.18181818181818
EMBER-PROMPT,1100,1083,2.0120036934441368,933.6472727272727,1024.0,0.0,0.18181818181818182,9339.966363636364,78.81818181818183,34.18181818181818
EMBER-AGENT,1100,1069,2.0168381665107575,909.0,1024.0,3.272727272727273,3.8181818181818183,9420.485454545455,75.18181818181819,35.45454545454545
SFT,1100,1057,0.4531693472090823,110.67727272727272,51.0,64.81818181818181,87.63636363636364,4086.25,25.545454545454543,4.909090909090909
SFT+RL,1100,1047,0.5386819484240688,137.45272727272726,62.5,61.09090909090909,83.81818181818181,4237.138181818182,28.909090909090907,6.0
