variant,total_rows,valid_rows,parse_failed_rows,mean,std,min,max,variance,drop,drop_pct
BASE,1100,1054,46,2.0265654648956355,1.7673992371876572,0.0,12.0,3.123700063611513,0.0,0.0
EMBER-PROMPT,1100,1083,17,2.0120036934441368,1.6430112879733325,0.0,11.0,2.699486092407789,0.014561771451498728,0.7185443403501715
EMBER-AGENT,1100,1069,31,2.0168381665107575,1.7008746684112483,0.0,12.0,2.892974637643074,0.009727298384877958,0.47998934914144986
SFT,1100,1057,43,0.4531693472090823,0.9024020358812074,0.0,6.0,0.8143294343625479,1.5733961176865532,77.6385537472672
SFT+RL,1100,1047,53,0.5386819484240688,0.9680277899875445,0.0,5.0,0.9370778021881695,1.4878835164715667,73.41897127158387
