model,variant,source,total_rows,valid_rows,parse_failed_rows,mean,std,median,p25,p75,min,max
llama,BASE,cmv,900,891,9,1.938,1.854,2.000,0.000,3.000,0.000,11.000
llama,EMBER-AGENT,cmv,900,891,9,1.618,1.421,1.000,0.000,2.000,0.000,8.000
llama,EMBER-PROMPT,cmv,900,894,6,1.649,1.449,1.000,1.000,2.000,0.000,7.000
qwen,BASE,cmv,900,881,19,2.124,1.723,2.000,1.000,3.000,0.000,9.000
qwen,EMBER-AGENT,cmv,900,879,21,1.777,1.417,2.000,1.000,3.000,0.000,9.000
qwen,EMBER-PROMPT,cmv,900,878,22,1.932,1.608,2.000,1.000,3.000,0.000,10.000
