model,variant,single_mean,multi_mean,delta,rel_delta,parse_failed,total
Qwen3-4B,BASE,2.18,2.167,-0.013000000000000345,-0.005963302752293735,28,900
Qwen3-4B,EMBER-PROMPT,1.858,1.835,-0.02300000000000013,-0.012378902045209974,19,900
Qwen3-4B,EMBER-AGENT,1.639,1.676,0.03699999999999992,0.022574740695546016,15,900
Llama-3.1-8B,BASE,1.831,2.992,1.161,0.6340797378481704,14,900
Llama-3.1-8B,EMBER-PROMPT,1.497,2.057,0.5599999999999998,0.37408149632598514,21,900
Llama-3.1-8B,EMBER-AGENT,1.495,1.681,0.18599999999999994,0.1244147157190635,15,900
